"newID","Cottus_ab","LND_ab","SRD_ab","avdep","avgT","mFlow","pctcbbl","pctfines","boulder","elev_m","Area_km2","HAiFLS_for","med_len","BRT_100m","BRT","Cottus_CPUE","LND_CPUE","SRD_CPUE","SegLen"
"YEL_125",0,4,0,0.286666666666667,19.6995908408408,0.18375,8.51063829787234,82.9787234042553,0.333333333333333,332.721679688,3.2583324287,8.0859833,0,0,0,0,2.46913580246914,0,162
"YEL_140",0,0,0,0.183333333333333,14.5377228009259,0.308541666666667,65.9574468085106,17.0212765957447,0.25,246.157318115,5.69662381313,49.5317574,84.5,19.3333333333333,1,0,0,0,300
"YEL_153",0,1,73,0.381914893617021,17.8704224537037,0.233617021276596,70.2127659574468,12.7659574468085,1.75,340.953033447,9.89795803195,1.710794,0,0,0,0,0.222222222222222,16.2222222222222,450
"YEL_154",0,43,0,0.227111111111111,18.4915063657407,0.0675555555555556,47.7272727272727,25,1.16666666666667,312.947937012,14.2233823852,13.6225748,0,0,0,0,9.55555555555556,0,450
"YEL_157",0,0,0,0.13531914893617,13.7439994212963,0.107021276595745,52.1739130434783,36.9565217391304,0,358.64743042,2.80920645061,2.9230087,0,0,0,0,0,0,288
"YEL_165",0,5,10,0.352291666666667,18.8398854166667,0.266458333333333,56.25,25,0.583333333333333,320.947631836,12.0572380632,3.9886549,351,3.77777777777778,1,0,1.11111111111111,2.22222222222222,450
"YEL_168",0,0,0,0.308695652173913,14.4294091435185,0.181739130434783,57.7777777777778,20,1,287.83380127,8.96893942935,12.8519182,226,20.4444444444444,1,0,0,0,450
"YEL_169",0,0,0,0.141666666666667,14.0686927083333,0.297083333333333,58.3333333333333,33.3333333333333,0,332.578460693,1.10419851889,1.2734195,0,0,0,0,0,0,150
"YEL_173",0,0,0,0.298958333333333,16.7693697916667,0.2875,36.1702127659575,59.5744680851064,0,333.882873535,2.31503609891,5.4718719,0,0,0,0,0,0,270
"YEL_177",0,0,0,0.130416666666667,18.1324519675926,0.30875,30.4347826086957,21.7391304347826,0.583333333333333,318.483032227,1.91863059147,2.9596531,0,0,0,0,0,0,150
"YEL_189",0,0,0,0.174565217391304,15.2933211805556,0.238260869565217,36.9565217391304,60.8695652173913,0,337.97769165,4.18189631628,2.1779046,0,0,0,0,0,0,240
"YEL_190",0,0,0,0.277708333333333,16.702828125,0.279375,44.6808510638298,40.4255319148936,0.833333333333333,294.103149414,4.54069288471,48.5575371,63,0.396825396825397,1,0,0,0,252
"LMAQ_8",2,0,0,0.164565217391304,13.9149363425926,0.427391304347826,71.7391304347826,4.34782608695652,1.41666666666667,202.505966187,1.66275196624,90.1195068,55,12.3333333333333,1,0.666666666666667,0,0,300
"LMAQ_9",0,0,0,0.586666666666667,14.6513391203704,0.123095238095238,39.0243902439024,24.390243902439,0.5,280.849700928,1.90963010288,98.6817856,0,0,0,0,0,0,186
"LMAQ_15",0,0,0,0.211063829787234,14.3771417824074,0.316595744680851,56.5217391304348,32.6086956521739,0.416666666666667,212.829925537,8.22950388179,61.2558517,182,30.4347826086957,1,0,0,0,276
"LMAQ_20",0,0,1,0.113191489361702,14.5370844907407,0.235212765957447,76.5957446808511,0,1,211.771575928,2.16667355653,98.6865692,60,7.8125,1,0,0,0.520833333333333,192
"LMAQ_22",0,0,0,0.201,15.3142314814815,0.10675,67.5,20,1.33333333333333,216.622543335,3.81555736677,53.7632866,0,0,0,0,0,0,150
"LMAQ_23",100,0,0,0.141025641025641,13.2010630787037,0.275897435897436,74.3589743589744,12.8205128205128,0.5,266.048187256,2.22384581152,70.4950867,88,13.0952380952381,1,59.5238095238095,0,0,168
"LMAQ_26",0,0,0,0.17304347826087,15.1733391203704,0.307826086956522,78.2608695652174,15.2173913043478,0.416666666666667,196.931015015,7.65496742242,74.9590683,192,13.7777777777778,1,0,0,0,225
